stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
301,301,Av. Manuel Mestre Cabanas - Qtª dos Gatos,,38.6557772113672,-9.051865339279175,,,0,,,,
361,361,Av. do Bocage - Esc. Secundária Augusto Cabrita,,38.656744896743106,-9.058763980865479,,,0,,,,
305,305,Av. Movimento das Forças Armadas - Hospital,,38.65417694106536,-9.0589839220047,,,0,,,,
161,161,R. Calouste Gulbenkian,,38.6523420321689,-9.059439897537231,,,0,,,,
162,162,R. Nuno Tristão - Esc. Básica Nº9,,38.6530039453635,-9.061000943183899,,,0,,,,
163,163,R. Almeida Garrett,,38.655467214153035,-9.061349630355835,,,0,,,,
164,164,Av. do Bocage - Balcão Único,,38.65509856707094,-9.065254926681519,,,0,,,,
24,24,Av. do Bocage,,38.65315476017258,-9.068162441253662,,,0,,,,
165,165,Av. D. Afonso Henriques,,38.65451626838297,-9.070238471031189,,,0,,,,
166,166,R. 20 de Abril,,38.655044107682066,-9.071826338768005,,,0,,,,
180,180,Terminal - Carreira 15,,38.65248446970189,-9.078134894371033,,,0,0,,,
179,179,R. Miguel Pais - Esc. Alfredo da Silva,,38.66216117999098,-9.08365488052368,,,0,,,,
182,182,Av. Bento Gonçalves - Polidesportivo,,38.664247156620576,-9.079079031944275,,,0,,,,
183,183,Av. Bento Gonçalves,,38.665185407420665,-9.07518446445465,,,0,,,,
109,109,R. Industrial Alfredo da Silva - Mural do Vhils,,38.665843013376715,-9.071928262710571,,,0,,,,
184,184,R. 9 de Abril - Esc. Profissional Bento de Jesus Caraça,,38.66369006439137,-9.06873106956482,,,0,,,,
185,185,R. 31 de Janeiro - Bairro das Palmeiras,,38.66257586693106,-9.065303206443787,,,0,,,,
154,154,R. Resistentes Antifascistas - TCB/Estação Lavradio,,38.66250465823334,-9.058549404144287,,,0,,,,
309,309,R. Resistentes Antifascistas - Ptª Lusiadas,,38.664628322490806,-9.056532382965088,,,0,,,,
115,115,Av. J.J. Fernandes - R. D. Luís de Albuquerque,,38.66639590033519,-9.053437113761902,,,0,,,,
